Age	Gender	LikeUser 	Toy
9	Female	no	car
7	Male	yes	car
7	Male	no	car
6	Male	yes	car
6	Female	no	doll
7	Male	no	doll
8	Female	no	car
7	Female	no	car
6	Female	yes	car
7	Male	no	car
7	Male	no	doll
6	Female	yes	doll
8	Female	yes	car
7	Male	yes	car
8	Female	yes	car
7	Female	yes	doll
8	Male	no	car
7	Female	no	car
6	Male	no	doll
7	Male	no	doll
6	Male	yes	doll
5	Male	no	car
6	Female	no	car
7	Male	no	car
7	Male	yes	doll
7	Female	no	doll
8	Male	no	doll
7	Female	no	doll
7	Male	no	car
7	Female	yes	doll
7	Female	yes	doll
6	Female	no	car
8	Male	no	doll
7	Female	no	car
8	Male	no	car
7	Male	no	doll
6	Male	no	car
7	Male	no	car
8	Male	no	doll
6	Female	yes	car
7	Male	no	car
8	Female	yes	doll
7	Male	no	doll
7	Female	yes	car
6	Male	no	doll
8	Male	no	doll
6	Male	no	car
7	Male	yes	car
9	Female	no	car
8	Female	no	car
